Player,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Whit Merrifield,Royals,145,630,19,80,78,34,4.60%,14.00%,0.172,0.308,0.288,0.324,0.46,0.332,105,4.4,8.4,-1.4,2.9,11281
Joey Gallo,Rangers,145,532,41,85,80,7,14.10%,36.80%,0.327,0.25,0.209,0.333,0.537,0.364,121,4.6,18.1,-8.4,2.8,14128
Matt Joyce,Athletics,141,544,25,78,68,4,12.10%,20.80%,0.23,0.263,0.243,0.335,0.473,0.343,116,1.7,12.4,-4.5,2.7,3353
Ian Kinsler,Tigers,139,613,22,90,52,14,9.00%,14.00%,0.176,0.244,0.236,0.313,0.412,0.313,93,1.5,-4,9.4,2.6,6195
Josh Harrison,Pirates,128,542,16,66,47,12,5.20%,16.60%,0.16,0.303,0.272,0.339,0.432,0.332,104,2.2,5,3.8,2.6,8202
Jay Bruce,- - -,146,617,36,82,101,1,9.20%,22.50%,0.254,0.274,0.254,0.324,0.508,0.35,118,-2.1,12.4,-6.8,2.6,9892
Corey Dickerson,Rays,150,629,27,84,62,4,5.60%,24.20%,0.207,0.338,0.282,0.325,0.49,0.341,115,-0.1,11.6,-7.4,2.6,10762
Manny Machado,Orioles,156,690,33,81,95,9,7.20%,16.70%,0.213,0.265,0.259,0.31,0.471,0.328,103,-5,-2.5,4.7,2.6,11493
Eddie Rosario,Twins,151,589,27,79,78,9,5.90%,18.00%,0.218,0.312,0.29,0.328,0.507,0.349,116,-0.5,11.3,-6.4,2.5,12155
Khris Davis,Athletics,153,652,43,91,110,4,11.20%,29.90%,0.281,0.29,0.247,0.336,0.528,0.361,129,-1.3,21.7,-19.3,2.5,9112
Jake Lamb,Diamondbacks,149,635,30,89,105,6,13.70%,23.90%,0.239,0.287,0.248,0.357,0.487,0.353,111,0.8,9.7,-5.4,2.5,13329
Evan Longoria,Rays,156,677,20,71,86,6,6.80%,16.10%,0.163,0.282,0.261,0.313,0.424,0.312,96,1.4,-2.2,3.3,2.4,9368
Yonder Alonso,- - -,142,521,28,72,67,2,13.10%,22.60%,0.235,0.302,0.266,0.365,0.501,0.366,133,-2.5,18.4,-11.9,2.4,2530
Javier Baez,Cubs,145,508,23,75,75,10,5.90%,28.30%,0.207,0.345,0.273,0.317,0.48,0.326,98,3.8,2.6,4.5,2.3,12979
Edwin Encarnacion,Indians,157,669,38,96,107,2,15.50%,19.90%,0.245,0.271,0.258,0.377,0.504,0.373,130,-8.3,16.8,-16.6,2.3,2151
Joe Mauer,Twins,141,597,7,69,71,2,11.10%,13.90%,0.112,0.349,0.305,0.384,0.417,0.349,116,-6.3,5.4,-3.4,2.2,1857
Kole Calhoun,Angels,155,654,19,77,71,5,10.90%,20.50%,0.148,0.284,0.244,0.333,0.392,0.315,98,-0.5,-2.2,2,2.2,11200
Yolmer Sanchez,White Sox,141,534,12,63,59,8,6.60%,20.80%,0.147,0.321,0.267,0.319,0.413,0.313,95,-1.3,-4.8,8.5,2.2,11602
Jackie Bradley Jr.,Red Sox,133,541,17,58,63,8,8.90%,22.90%,0.158,0.294,0.245,0.323,0.402,0.313,89,5,-2.6,5.8,2.2,12984
Curtis Granderson,- - -,147,527,26,74,64,6,13.50%,23.30%,0.241,0.228,0.212,0.323,0.452,0.33,106,2.9,7.1,-2.7,2.1,4747
Eric Thames,Brewers,138,551,31,83,63,4,13.60%,29.60%,0.271,0.309,0.247,0.359,0.518,0.369,125,-1.6,16.2,-12.9,2.1,3711
Brandon Crawford,Giants,144,570,14,58,77,3,7.40%,19.80%,0.151,0.293,0.253,0.305,0.403,0.301,85,-1.6,-12.6,15,2.1,5343
Mike Moustakas,Royals,148,598,38,75,85,0,5.70%,15.70%,0.249,0.263,0.272,0.314,0.521,0.345,114,-5.4,4.7,-4.4,2.1,4892
Yadier Molina,Cardinals,136,543,18,60,82,9,5.20%,13.60%,0.166,0.285,0.273,0.312,0.439,0.316,93,-5.1,-9.7,12.6,2,7007
Andrew Benintendi,Red Sox,151,658,20,84,90,20,10.60%,17.00%,0.154,0.301,0.271,0.352,0.424,0.332,102,1.4,2.9,-5.1,2,17901
Kevin Pillar,Blue Jays,154,632,16,72,42,15,5.20%,15.00%,0.148,0.28,0.256,0.3,0.404,0.302,86,1,-9.6,7.7,2,12434
Jose Reyes,Mets,145,561,15,75,58,24,8.90%,14.10%,0.168,0.263,0.246,0.315,0.413,0.312,95,5.4,1.9,-0.4,2,1736
Joe Panik,Giants,138,573,10,60,53,4,8.00%,9.40%,0.133,0.301,0.288,0.347,0.421,0.329,103,-2.1,0,0.9,1.9,11936
Manuel Margot,Padres,126,529,13,53,39,17,6.60%,20.00%,0.146,0.309,0.263,0.313,0.409,0.309,90,1,-5.6,7.8,1.9,14712
Chase Headley,Yankees,147,586,12,77,61,9,10.20%,22.50%,0.133,0.341,0.273,0.352,0.406,0.329,103,1.2,3.5,-4.6,1.9,4720
DJ LeMahieu,Rockies,155,682,8,95,64,6,8.70%,13.20%,0.099,0.351,0.31,0.374,0.409,0.342,94,-4.5,-9.9,6.7,1.9,9874
David Freese,Pirates,130,503,10,44,52,0,11.50%,23.10%,0.108,0.336,0.263,0.368,0.371,0.326,100,-4.2,-4,6.2,1.8,9549
David Peralta,Diamondbacks,140,577,14,82,57,8,7.50%,16.30%,0.15,0.333,0.293,0.352,0.444,0.342,104,1.2,4,-4.3,1.8,2136
Ben Gamel,Mariners,134,550,11,68,59,4,6.50%,22.20%,0.138,0.34,0.275,0.322,0.413,0.315,100,3.4,3.4,-4.1,1.8,12160
Yuli Gurriel,Astros,139,564,18,69,75,3,3.90%,11.00%,0.187,0.308,0.299,0.332,0.486,0.344,119,0.8,14,-15.8,1.8,19198
Trey Mancini,Orioles,147,586,24,65,78,1,5.60%,23.70%,0.195,0.352,0.293,0.338,0.488,0.349,118,-0.3,12.5,-15.3,1.7,15149
Adam Jones,Orioles,147,635,26,82,73,2,4.30%,17.80%,0.181,0.312,0.285,0.322,0.466,0.334,107,1.3,7,-11.4,1.7,6368
Freddy Galvis,Phillies,162,663,12,71,61,14,6.80%,16.70%,0.127,0.292,0.255,0.309,0.382,0.298,80,0.9,-15.9,10.5,1.6,6609
